cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,check
30401,//oneroommaking.com/web/product/big/201810/aa23823e071893529a3722cc0fb37779.jpg,https://oneroommaking.com/product/detail.html?product_no=686&cate_no=140&display_group=1,위드 서랍형 옷장,686,7,4.4,"89,000",원룸만들기,옷장,성공
30401,//oneroommaking.com/web/product/big/202101/a1ce1cdfffb64ff7e75b161d3b5188ca.jpg,https://oneroommaking.com/product/detail.html?product_no=2852&cate_no=140&display_group=1,롤스크린 드레스룸 시리즈,2852,19,4.4,"49,000",원룸만들기,옷장,성공
30401,//oneroommaking.com/web/product/big/202012/8c7571fa3d9cce9dd8b597730933052c.jpg,https://oneroommaking.com/product/detail.html?product_no=2841&cate_no=140&display_group=1,전면 거울 장롱,2841,4,4.8,"129,000",원룸만들기,옷장,성공
30401,//oneroommaking.com/web/product/big/20200213/e46087267385f78d80daa4fe7310c928.jpg,https://oneroommaking.com/product/detail.html?product_no=1983&cate_no=140&display_group=1,윈도우 커버 옷장,1983,105,4.7,"40,900",원룸만들기,옷장,성공
30401,//oneroommaking.com/web/product/big/202104/5320246597b0758781c79be69f7c4989.jpg,https://oneroommaking.com/product/detail.html?product_no=3075&cate_no=140&display_group=1,카일 손잡이 없는 옷장,3075,8,5.0,"66,900",원룸만들기,옷장,성공
30402,//oneroommaking.com/web/product/big/20200528/b06e4e1fd745bb6511ee386f50de3f92.jpg,https://oneroommaking.com/product/detail.html?product_no=2247&cate_no=140&display_group=1,무볼트 드레스룸 행거,2247,92,4.9,"33,900",원룸만들기,행거,성공
30402,//oneroommaking.com/web/product/big/201901/28291ed7e452b814f61f869e76e0ecc8.jpg,https://oneroommaking.com/product/detail.html?product_no=1019&cate_no=140&display_group=1,2단 선반 행거,1019,50,4.8,"55,900",원룸만들기,행거,성공
30402,//oneroommaking.com/web/product/big/20200609/4038fa5e1706bc7d6054a400a9b8f0e7.jpg,https://oneroommaking.com/product/detail.html?product_no=2298&cate_no=140&display_group=1,루미 파티션 행거,2298,17,4.5,"69,900",원룸만들기,행거,성공
30402,//oneroommaking.com/web/product/big/202008/698e69c628372785ad880272bb1633a6.jpg,https://oneroommaking.com/product/detail.html?product_no=2506&cate_no=139&display_group=1,대나무 수납행거 8종,2506,18,4.7,"40,900",원룸만들기,행거,성공
30402,//oneroommaking.com/web/product/big/20200630/a28eef4693b589f8310c4e556135fac4.jpg,https://oneroommaking.com/product/detail.html?product_no=2355&cate_no=139&display_group=1,모듈랙 2단 행거 모음,2355,40,4.8,"17,900",원룸만들기,행거,성공
