cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm
8203,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/03/15/4/deb24015-5d50-4563-8f36-f13eeb77ac20.jpg,https://www.coupang.com/vp/products/1790294076?itemId=3046844871&vendorItemId=75797847690&q=%EA%B1%B0%EC%B9%98%EB%8C%80&itemsCount=36&searchId=70f3d40fd0c64fd09a9b6988f5b24863&rank=26&isAddedCart=,텝토 접이식 아이패드 / 갤럭시탭 / G패드 태블릿 휴대용 거치대 스탠드,1790294076,148,0,"3,000",쿠팡,실용성갑거치대
8204,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/03/27/3917903554/81993293-2e61-4a1c-82db-e351584c633b.jpg,https://www.coupang.com/vp/products/128658579?itemId=378890817&vendorItemId=3917903554&q=%ED%84%B4%ED%85%8C%EC%9D%B4%EB%B8%94&itemsCount=36&searchId=c1199fb2560d45f9bab1b773181f0200&rank=2&isAddedCart=,사운드룩 레트로 블루투스 턴테이블,128658579,127,0,"149,000",쿠팡,집콕가전
8204,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/09/20/3447164524/b6f2efdd-3274-48f8-898e-7855bb505ae3.jpg,https://www.coupang.com/vp/products/1915950631?itemId=3252952368&vendorItemId=3447164524&q=%EB%B8%94%EB%A3%A8%ED%88%AC%EC%8A%A4+%EC%8A%A4%ED%94%BC%EC%BB%A4&itemsCount=36&searchId=71f55cfb6b9842158b2d5e341d008f16&rank=1&isAddedCart=,레토 레인보우 LED 블루투스 스피커 NEOVOX LBT-R01,1915950631,"2,078",0,"43,580",쿠팡,집콕가전
8204,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/06/15/3486940915/a6e77fc4-a3ac-4009-8212-c110ca054a83.jpg,https://www.coupang.com/vp/products/59514402?itemId=205268785&vendorItemId=74477727522&q=%ED%84%B4%ED%85%8C%EC%9D%B4%EB%B8%94&itemsCount=36&searchId=c1199fb2560d45f9bab1b773181f0200&rank=6&isAddedCart=,ION Superior LP 턴테이블,59514402,415,0,"315,000",쿠팡,집콕가전
8204,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/11/16/3507584000/a85194d2-1c8b-4b19-9c53-29fd0ee4f74c.jpg,https://www.coupang.com/vp/products/62345140?itemId=212887485&vendorItemId=3507584000&q=%ED%84%B4%ED%85%8C%EC%9D%B4%EB%B8%94&itemsCount=36&searchId=c1199fb2560d45f9bab1b773181f0200&rank=3&isAddedCart=,로우락 턴테이블 LP 플레이어 RLP-04,62345140,387,0,"63,000",쿠팡,집콕가전
8204,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/01/13/17/5/b4e8bd87-3dd8-443a-80d3-876f2e421c8d.jpg,https://www.coupang.com/vp/products/1173500388?itemId=2151804731&vendorItemId=70150101582&q=%EB%B9%94%ED%94%84%EB%A1%9C%EC%A0%9D%ED%84%B0&itemsCount=36&searchId=c87d2e050172407285863a9cd6ef861b&rank=1&isAddedCart=,씨앤케이 미니 빔프로젝터,1173500388,784,0,"109,000",쿠팡,집콕가전
8204,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/11/21/15/3/37e774eb-8df7-4a6a-9fed-ce69fa8b4595.jpg,https://www.coupang.com/vp/products/48594579?itemId=171787844&vendorItemId=3411703203&q=%EB%B8%94%EB%A3%A8%ED%88%AC%EC%8A%A4+%EC%8A%A4%ED%94%BC%EC%BB%A4&itemsCount=36&searchId=71f55cfb6b9842158b2d5e341d008f16&rank=6&isAddedCart=,오아 아이브릭 블루투스 스피커,48594579,"3,027",0,"22,900",쿠팡,집콕가전
8204,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/770603933415653-2cd802e2-29be-44d8-9136-2a421ffc4167.jpg,https://www.coupang.com/vp/products/1117263636?vendorItemId=76546363218&isAddedCart=,제이비엘 FLIP 5 블루투스 스피커,1117263636,584,0,"117,000",쿠팡,집콕가전
8204,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11121882400536-ad9c401e-6de6-474e-be66-cebe2b2825b6.jpg,https://www.coupang.com/vp/products/98385668?itemId=301804326&vendorItemId=75571753314&q=tv+%EC%9B%90%EB%A3%B8&itemsCount=36&searchId=8117fde96d8d4898960144a7ed41d33e&rank=1&isAddedCart=,티비드 HD LED 32 TV,98385668,"1,270",0,"385,000",쿠팡,집콕가전
8204,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/11/18/13/9/27756de8-42d4-4386-b855-a0890dde2fda.jpg,https://www.coupang.com/vp/products/4355492096?itemId=5115771848&vendorItemId=72425277470&q=%EB%B9%94%ED%94%84%EB%A1%9C%EC%A0%9D%ED%84%B0&itemsCount=36&searchId=c87d2e050172407285863a9cd6ef861b&rank=3&isAddedCart=,조아빔 무선 미러링 HD급 고해상도 LED 빔프로젝터 JD-720H,4355492096,162,0,"179,000",쿠팡,집콕가전
8205,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/04/01/4065398111/9bd8faae-91b6-4457-80ad-ebb62141cdfb.jpg,https://www.coupang.com/vp/products/149473459?itemId=432160547&vendorItemId=4065398111&q=%EC%84%B1%EC%9D%B8+%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84&itemsCount=36&searchId=398ecbcecb024b67b874a151a816592a&rank=1&isAddedCart=,주루주루 주루마블 모두의 술판 보드게임,149473459,252,0,"16,650",쿠팡,집콕놀거리
8204,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/26/12/7/1db08c50-a43f-42af-b985-19769c8d603a.jpg,https://www.coupang.com/vp/products/307919053?itemId=970898457&vendorItemId=5380337943&q=%EC%97%90%EC%96%B4%ED%94%84%EB%9D%BC%EC%9D%B4%EC%96%B4&itemsCount=36&searchId=9cd6919490294c3ca6301676fd805bfc&rank=2&isAddedCart=,키친플라워 쿠킨 대용량 디지털 에어프라이어 5.0L,307919053,892,0,"76,900",쿠팡,집콕가전
8204,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1479300464463-dd2ec536-38f0-4603-bc19-5554a568e743.jpg,https://www.coupang.com/vp/products/230912709?itemId=732281267&vendorItemId=4851231541&q=%EC%97%90%EC%96%B4%ED%94%84%EB%9D%BC%EC%9D%B4%EC%96%B4&itemsCount=36&searchId=9cd6919490294c3ca6301676fd805bfc&rank=1&isAddedCart=,홈플래닛 에어프라이어 1.6L,230912709,"2,530",0,"31,120",쿠팡,집콕가전
8205,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/29/3000165024/cdf9f3e9-eb15-4fd9-8555-6493c80713b9.jpg,https://www.coupang.com/vp/products/1077166?itemId=4631106&vendorItemId=3000165024&pickType=COU_PICK&q=%EC%84%B1%EC%9D%B8+%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84&itemsCount=36&searchId=398ecbcecb024b67b874a151a816592a&rank=6&isAddedCart=,코리아보드게임즈 다빈치 코드,1077166,"3,659",0,"14,080",쿠팡,집콕놀거리
8205,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5583/7de025e0bf08efe2f069f9b8e224e8984649cd10845c177048c0b01b8d7b.jpg,https://www.coupang.com/vp/products/1735847173?itemId=2954687941&vendorItemId=70943192106&q=%EC%84%B1%EC%9D%B8+%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84&itemsCount=36&searchId=398ecbcecb024b67b874a151a816592a&rank=7&isAddedCart=,[응응마블] 휴대용 커플 연인 모두의 러브 주루마블 부루마블 보드게임 술게임,1735847173,16,0,"14,900",쿠팡,집콕놀거리
