cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,check
8105,http://thumbnail.10x10.co.kr/webimage/image/basic600/236/B002368857-3.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2368857&disp=124108102&pCtr=124108102,[네스프레소] 시티즈 D113 에스프레소 캡슐 커피머신 화이트(신형),2368857,30,0,"279,000",10x10,홈카페가전,성공
8105,http://thumbnail.10x10.co.kr/webimage/image/basic600/275/B002752133-1.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2752133&disp=124108102&pRtr=%EC%BB%A4%ED%94%BC%EB%A8%B8%EC%8B%A0&rc=rpos_1_12,[텐텐단독] 모즈 홈카페 세트 (커피머신 + 커피 글라인더 + 텀블러),2752133,46,0,"139,000",10x10,홈카페가전,성공
8105,http://thumbnail.10x10.co.kr/webimage/image/basic600/290/B002902473-1.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2902473&disp=124108102&pRtr=%EC%BB%A4%ED%94%BC%EB%A8%B8%EC%8B%A0&rc=rpos_1_14,[7컬러] 스메그 드립커피머신 DCF02_(255967),2902473,7,0,"231,570",10x10,홈카페가전,성공
8105,http://thumbnail.10x10.co.kr/webimage/image/basic600/214/B002146997.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2146997&disp=124108102&pRtr=%EC%BB%A4%ED%94%BC%EB%A8%B8%EC%8B%A0&rc=rpos_1_17,레꼴뜨 홈 커피 스탠드 커피메이커,2146997,18,0,"49,000",10x10,홈카페가전,성공
8105,http://thumbnail.10x10.co.kr/webimage/image/basic600/374/B003747616.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3747616&disp=124106102&pRtr=%ED%86%A0%EC%8A%A4%ED%84%B0%EA%B8%B0&rc=rpos_1_2,피치피치 토스터기,3747616,12,0,"46,550",10x10,홈카페가전,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/311/B003112336-3.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3112336&disp=120104107&pRtr=%EC%BF%A0%EC%85%98&rc=rpos_1_1,[Peanuts] 스누피 바디필로우 대형 (L),3112336,161,0,"76,000",10x10,세상편한쿠션,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/382/B003824137.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3824137&disp=120101103104&pRtr=%EB%B0%94%EB%94%94%ED%95%84%EB%A1%9C%EC%9A%B0&rc=rpos_1_1,시원한 풍기인견 바디필로우 등쿠션 커버 균일가 모음_(2332779),3824137,2,0,"15,200",10x10,세상편한쿠션,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/374/B003747617.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3747617&disp=120104107&pRtr=%EC%BF%A0%EC%85%98&rc=rpos_1_3,스윗 드림 바디 필로우 - 라이언,3747617,6,0,"31,350",10x10,세상편한쿠션,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/332/B003329326.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3329326&disp=120104105&pRtr=%EC%BF%A0%EC%85%98&rc=rpos_1_6,소프트 식스모션 삼각 쿠션 2size_(1368350),3329326,8,0,"56,800",10x10,세상편한쿠션,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/83/B000838407.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=838407&disp=120104105&pRtr=%EC%BF%A0%EC%85%98&rc=rpos_1_10,26칼라 헤드쿠션,838407,14,0,"36,000",10x10,세상편한쿠션,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/324/B003242391.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=3242391&disp=120104105&pRtr=%EB%93%B1%EC%BF%A0%EC%85%98&rc=rpos_1_15,삼각 침대 헤드 쿠션,3242391,5,0,"35,000",10x10,세상편한쿠션,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/213/B002137497.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2137497&disp=120104105&pRtr=%EB%93%B1%EC%BF%A0%EC%85%98&rc=rpos_1_27,웰시코기 엉덩이 쿠션담요 낮잠 팔베개,2137497,3,0,"27,500",10x10,세상편한쿠션,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/159/B001594277.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=1594277&disp=120101103104&pCtr=120101103104,북극곰오리털바디필로우,1594277,32,0,"27,600",10x10,세상편한쿠션,성공
8202,http://thumbnail.10x10.co.kr/webimage/image/basic600/258/B002587032.jpg?cmd=thumb&w=500&h=500&fit=true&ws=false,http://www.10x10.co.kr/shopping/category_prd.asp?itemid=2587032&rc=item_happy_4&disptype=g,코튼푸드 식빵 모찌방석 40cm_(1896160),2587032,4,0,"17,900",10x10,세상편한쿠션,성공
