cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,seller_nm,cate_nm,has_stock
10103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1556166122_102346_19.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/117564/selling?affect_type=ProductCategoryIndex&affect_id=,하우스 벙커형 독서실 책상침대 2colors,117564,28,4.5,"861,000",오늘의집,벙커침대,True
10103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159494487844525426.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/412593/selling?affect_type=ProductCategoryIndex&affect_id=,[기간한정] 업다운 높이조절 철제 벙커침대 SS/Q 수납계단,412593,66,4.5,"319,000",오늘의집,벙커침대,True
10102,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159720098744946884.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/354353/selling?affect_type=ProductCategoryIndex&affect_id=,비즈 LED 3서랍수납형 침대(매트포함) SS/Q ,354353,"1,174",4.5,"219,000",오늘의집,수납침대,True
10103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160671180838950900.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/590510/selling?affect_type=ProductCategoryIndex&affect_id=,탱크 철제 벙커침대 수납형 SS 사다리,590510,82,4.4,"399,000",오늘의집,벙커침대,True
10103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159105495801441086.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/347235/selling?affect_type=ProductCategoryIndex&affect_id=,릴리퍼트 좌식 철재벙커침대 기본형 매트제외,347235,134,4.7,"138,250",오늘의집,벙커침대,True
10103,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161052315031042355.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/651367/selling?affect_type=ProductCategoryIndex&affect_id=,스토리쥬4 벙커침대 옷장+서랍책상형 IKST406,651367,5,4.4,"765,600",오늘의집,벙커침대,True
10104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448089926_EoBSb.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/550837/selling?affect_type=StoreSearchResult&affect_id=1,삼나무 원목 침대깔판 저상형 프레임 6size,550837,"1,191",4.7,"50,900",오늘의집,깔판,True
10104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157587232748787855.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/207710/selling?affect_type=StoreSearchResult&affect_id=5,초슬림 저상형침대 3colors(SS/Q/K),207710,879,4.5,"89,000",오늘의집,깔판,True
10104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159054634233453550.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/335550/selling?affect_type=StoreSearchResult&affect_id=9,원목 저상형 매트리스 깔판침대,335550,"2,280",4.6,"5,800",오늘의집,깔판,True
10201,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162259525386485802.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/329364/selling?affect_type=ProductCategoryIndex&affect_id=,[쿠폰할인] 편안한 제주 필로우탑 본넬스프링 침대 매트리스 3colors(S/SS/Q/K),329364,"6,713",4.8,"104,900",오늘의집,매트리스,True
10104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1561102295784_8.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/116591/selling?affect_type=StoreSearchResult&affect_id=7,북유럽 소나무 침대 깔판 6size,116591,"4,715",4.6,"9,900",오늘의집,깔판,True
10104,https://image.ohou.se/i/bucketplace-v2-development/uploads/deals/160196724648843997.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/425792/selling?affect_type=StoreSearchResult&affect_id=2,호텔식 침실가구 BEST 8종(토퍼/매트리스/깔판),425792,"4,564",4.8,"9,900",오늘의집,깔판,True
10104,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160991554779384573.jpg?gif=1&w=480&h=480&c=c,https://ohou.se/productions/204574/selling?affect_type=StoreSearchResult&affect_id=3,[주말특가] 트리샤 저상형 침대 프레임 2colors SS/Q,204574,"2,594",4.7,"116,700",오늘의집,깔판,True
