,Unnamed: 0,Unnamed: 0.1,cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,cate_nm,seller_id,has_stock
213,213,213,8205,http://gdimg.gmarket.co.kr/126756260/still/600?ver=1559890617,http://item.gmarket.co.kr/Item?goodscode=126756260,6 in 1 멀티 게임기 미니 당구대 탁구 하키 포켓볼 ,126756260,286,0,"125,000",집콕놀거리,12,1
214,214,214,8205,http://gdimg.gmarket.co.kr/214243679/still/600?ver=1533516416,http://item.gmarket.co.kr/Item?goodscode=214243679,PC게임 펌프 7집 PREX 3 + 발판 /DDR/디디알/정식발매 ,214243679,208,0,"71,760",집콕놀거리,12,1
215,215,215,8301,http://gdimg.gmarket.co.kr/948366341/still/600?ver=1620114550,http://item.gmarket.co.kr/Item?goodscode=948366341,생일파티 홈파티 천장장식 파티 풍선 장식 용품 ,948366341,"5,418",0,"2,800",파티용필수장식,12,1
216,216,216,8301,http://gdimg.gmarket.co.kr/1998280181/still/600?ver=1609735884,http://item.gmarket.co.kr/Item?goodscode=1998280181,파티풍선 생일파티용품 가랜드 홈파티 세트 로즈골드 ,1998280181,151,0,"12,550",파티용필수장식,12,1
217,217,217,8301,http://gdimg.gmarket.co.kr/1107154059/still/600?ver=1579587797,http://item.gmarket.co.kr/Item?goodscode=1107154059,은박 호일 풍선 숫자 알파벳 이니셜 골드 실버 하트 ,1107154059,"1,744",0,690,파티용필수장식,12,1
218,218,218,8301,http://gdimg.gmarket.co.kr/181509966/still/600?ver=1594714748,http://item.gmarket.co.kr/Item?goodscode=181509966,(생일이벤트용품모음)생일파티용품 냅킨 생일잔치 ,181509966,"1,421",0,"1,940",파티용필수장식,12,1
219,219,219,8301,http://gdimg.gmarket.co.kr/351200202/still/600?ver=1611134614,http://item.gmarket.co.kr/Item?goodscode=351200202,낱개 폭죽 불꽃놀이 이벤트 파티 로망캔들 막대폭죽 ,351200202,"1,352",0,970,파티용필수장식,12,1
220,220,220,8301,http://gdimg.gmarket.co.kr/1257144746/still/600?ver=1570399895,http://item.gmarket.co.kr/Item?goodscode=1257144746,자유문구 생일케이크토퍼 여행토퍼  케익토퍼 ,1257144746,616,0,"4,400",파티용필수장식,12,1
221,221,221,8302,http://gdimg.gmarket.co.kr/1507662894/still/600?ver=1623996633,http://item.gmarket.co.kr/Item?goodscode=1507662894,DC24V LED96구 은하수 트리전구 줄전구 투명선 노랑색 ,1507662894,110,0,"3,920",턴업조명,12,1
222,222,222,8302,http://gdimg.gmarket.co.kr/1825747666/still/600?ver=1609725292,http://item.gmarket.co.kr/Item?goodscode=1825747666,앵두전구 감성 캠핑 조명 스탠다드/웜화이트/2M/배터리 ,1825747666,182,0,"5,200",턴업조명,12,1
223,223,223,8302,http://gdimg.gmarket.co.kr/1744593574/still/600?ver=1619593924,http://item.gmarket.co.kr/Item?goodscode=1744593574,OMT 크리스마스 트리 LED조명 300개 전구 OL-3X3 ,1744593574,164,0,"15,900",턴업조명,12,1
224,224,224,8302,http://gdimg.gmarket.co.kr/229563723/still/600?ver=1541150379,http://item.gmarket.co.kr/Item?goodscode=229563723,LED 연결 고드름라이트 /꼬마전구 /트리조명/100구 ,229563723,61,0,"6,990",턴업조명,12,1
225,225,225,8302,http://gdimg.gmarket.co.kr/1564285250/still/600?ver=1567574143,http://item.gmarket.co.kr/Item?goodscode=1564285250,led 초 촛불 이벤트 프로포즈 조명 등 캔들 파티용품 ,1564285250,98,0,"3,470",턴업조명,12,1
226,226,226,8302,http://gdimg.gmarket.co.kr/175378840/still/600?ver=1547265121,http://item.gmarket.co.kr/Item?goodscode=175378840,LED전구 마볼라이트 조명 캠핑 장식 크리스마스 트리 ,175378840,78,0,"14,900",턴업조명,12,1
227,227,227,8302,http://gdimg.gmarket.co.kr/1577477333/still/600?ver=1552895860,http://item.gmarket.co.kr/Item?goodscode=1577477333,흔들리는 LED 촛불 조명 건전지양초 티라이트 캔들 ,1577477333,57,0,"1,200",턴업조명,12,1
228,228,228,8302,http://gdimg.gmarket.co.kr/1248728731/still/600?ver=1611295148,http://item.gmarket.co.kr/Item?goodscode=1248728731,취침등 수유등 조명등 독서등 LED 네온사인 무드등 취 ,1248728731,31,0,"9,610",턴업조명,12,1
229,229,229,8302,http://gdimg.gmarket.co.kr/1574422927/still/600?ver=1624586924,http://item.gmarket.co.kr/Item?goodscode=1574422927,LED 네온사인 무드등 모음 인테리어조명 카페 소품 ,1574422927,1,0,"7,900",턴업조명,12,1
230,230,230,8302,http://gdimg.gmarket.co.kr/1520205548/still/600?ver=1613440653,http://item.gmarket.co.kr/Item?goodscode=1520205548,루프탑조명모음/LED G50볼큐빅10구  전구 파티조명 ,1520205548,11,0,"31,000",턴업조명,12,1
231,231,231,8302,http://gdimg.gmarket.co.kr/1744597709/still/600?ver=1611884565,http://item.gmarket.co.kr/Item?goodscode=1744597709,레인보우 LED 전구 크리스마스 트리 조명 OL-RAINBOW ,1744597709,72,0,"15,900",턴업조명,12,1
232,232,232,8302,http://gdimg.gmarket.co.kr/1927710981/still/600?ver=1603973535,http://item.gmarket.co.kr/Item?goodscode=1927710981,루아르모 꺼지지않는 LED 전자초 티라이트 24개 1박스 ,1927710981,135,0,"6,000",턴업조명,12,1
233,233,233,8302,http://gdimg.gmarket.co.kr/854655231/still/600?ver=1597470164,http://item.gmarket.co.kr/Item?goodscode=854655231,led양초흔들리는전자촛불전기초리모컨기능 7.5x12.5cm ,854655231,16,0,"8,000",턴업조명,12,1
234,234,234,8303,http://gdimg.gmarket.co.kr/1567061431/still/600?ver=1616508368,http://item.gmarket.co.kr/Item?goodscode=1567061431,산토리 위스키 가쿠빈 하이볼잔 2개세트 ,1567061431,194,0,"26,100",술맛달달술잔,12,1
235,235,235,8303,http://gdimg.gmarket.co.kr/2067151472/still/600?ver=1622709851,http://item.gmarket.co.kr/Item?goodscode=2067151472,핑구 꿀꺽 유리잔 6P 세트(소주잔 4P+맥주잔2P) ,2067151472,3,0,"15,900",술맛달달술잔,12,1
236,236,236,8303,http://gdimg.gmarket.co.kr/1485279667/still/600?ver=1596506649,http://item.gmarket.co.kr/Item?goodscode=1485279667,서촌 방짜 유기술잔 소주잔 황금술잔 캠핑용술잔 ,1485279667,106,0,"14,680",술맛달달술잔,12,1
237,237,237,8303,http://gdimg.gmarket.co.kr/1459608678/still/600?ver=1611741578,http://item.gmarket.co.kr/Item?goodscode=1459608678,리비 캔모양 유리컵 370ml 홈카페컵 맥주잔 하이볼 ,1459608678,89,0,"2,000",술맛달달술잔,12,1
238,238,238,8303,http://gdimg.gmarket.co.kr/1445980947/still/600?ver=1618491379,http://item.gmarket.co.kr/Item?goodscode=1445980947,LED소주잔 LED맥주잔 LED와인잔 술잔 파티용품 ,1445980947,414,0,"1,900",술맛달달술잔,12,1
239,239,239,8303,http://gdimg.gmarket.co.kr/1933910999/still/600?ver=1621342667,http://item.gmarket.co.kr/Item?goodscode=1933910999,크리스탈렉스 지젤 쯔비벨 보르도 와인잔 560ml 2P세트 택1 ,1933910999,20,0,"24,410",술맛달달술잔,12,1
240,240,240,8304,http://gdimg.gmarket.co.kr/1719617417/still/600?ver=1611373327,http://item.gmarket.co.kr/Item?goodscode=1719617417,1등급 냉장고 47L 소형 미니 BC-50 원룸 일반 ,1719617417,76,0,"96,720",알콜력상승아이템,12,1
241,241,241,8304,http://gdimg.gmarket.co.kr/1692846555/still/600?ver=1571896355,http://item.gmarket.co.kr/Item?goodscode=1692846555,음료 물 쥬스 탄산 음료 술 주류 디스펜서 정수기 ,1692846555,3,0,"9,800",알콜력상승아이템,12,1
242,242,242,8304,http://gdimg.gmarket.co.kr/1713217449/still/600?ver=1606790869,http://item.gmarket.co.kr/Item?goodscode=1713217449,(캠핑일번가) 미니화로 그릴 풀세트 혼술 혼밥 연료20 ,1713217449,341,0,"26,370",알콜력상승아이템,12,1
243,243,243,8304,http://gdimg.gmarket.co.kr/220193455/still/600?ver=1611564747,http://item.gmarket.co.kr/Item?goodscode=220193455,칵테일 쉐이커세트 300ml 지거0.5/1온스 바스푼 ,220193455,11,0,"10,000",알콜력상승아이템,12,1
244,244,244,8304,http://gdimg.gmarket.co.kr/1610463853/still/600?ver=1558085013,http://item.gmarket.co.kr/Item?goodscode=1610463853,SM 삼덕 와인마개 / 와인용품 와인키퍼 와인스토퍼 ,1610463853,186,0,"2,260",알콜력상승아이템,12,1
245,245,245,8304,http://gdimg.gmarket.co.kr/1286920377/still/600?ver=1621767344,http://item.gmarket.co.kr/Item?goodscode=1286920377,아기간식 나눔접시 싱글라이프 혼술 야구장 캠핑 파 ,1286920377,2,0,"5,840",알콜력상승아이템,12,1
246,246,246,8401,http://gdimg.gmarket.co.kr/2030274727/still/600?ver=1620385672,http://item.gmarket.co.kr/Item?goodscode=2030274727,ARENA-X FOOT REST 발받침 컴퓨터 게이밍 게임용 의자 ,2030274727,130,0,"179,000",게이밍의자/발받침,12,1
