,Unnamed: 0,Unnamed: 0.1,cate_id,img_url,org_url,prd_nm,prd_id,rate_cnt,rate_val,sales_price,cate_nm,check,seller_id,has_stock
15,15,15,20104,//item.ssgcdn.com/69/31/30/item/1000023303169_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000023303169&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%95%88%EB%9D%BD%EC%9D%98%EC%9E%90&srchPgNo=1&src_area=ssglist,EGG 에그 윙 안락의자 세트 (스툴포함),1000023303169,5,4.8,"257,880",안락의자/빈백,성공,15,1
16,16,16,20104,//item.ssgcdn.com/41/31/60/item/1000064603141_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000064603141&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%B9%88%EB%B0%B1&srchPgNo=1&src_area=ssglist,요기보 피라미드 삼각 1인용 빈백 소파,1000064603141,1,5.0,"179,000",안락의자/빈백,성공,15,1
17,17,17,20104,//item.ssgcdn.com/13/18/00/item/1000055001813_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000055001813&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%B9%88%EB%B0%B1&srchPgNo=1&src_area=ssglist,[스누즈]코지 피그먼트 빈백쿠션,1000055001813,0,,"134,160",안락의자/빈백,성공,15,1
18,18,18,202,//item.ssgcdn.com/10/17/65/item/1000023651710_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000023651710&siteNo=6001&salestrNo=2034&tlidSrchWd=%EB%B0%A5%EC%83%81%20%ED%85%8C%EC%9D%B4%EB%B8%94&srchPgNo=1&src_area=ssglist,월넛테이블 대,1000023651710,141,4.9,"23,900",밥상/테이블,성공,15,1
19,19,19,202,//item.ssgcdn.com/64/08/92/item/1000042920864_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000042920864&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%B0%A5%EC%83%81%20%ED%85%8C%EC%9D%B4%EB%B8%94&srchPgNo=1&src_area=ssglist,리빙코디 명화그림 다용도테이블 720x480 / 800x600 밥상 액자테이블,1000042920864,7,4.2,"24,113",밥상/테이블,성공,15,1
20,20,20,202,//item.ssgcdn.com/40/68/11/item/1000044116840_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000044116840&siteNo=6004&salestrNo=6005&tlidSrchWd=%EB%B0%A5%EC%83%81%20%ED%85%8C%EC%9D%B4%EB%B8%94&srchPgNo=1&src_area=ssglist,튼튼하고 편리한 접이식 우드 접이식 좌식책상-부자오빠,1000044116840,14,4.3,"11,431",밥상/테이블,성공,15,1
21,21,21,203,//item.ssgcdn.com/16/68/82/item/1000038826816_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000038826816&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%8A%A4%ED%88%B4&srchPgNo=1&src_area=ssglist,아넬로 벨벳 원형스툴 l 영원한 약속의 상징 로즈골드빛 화장대의자 링스툴,1000038826816,15,4.6,"40,420",스툴,성공,15,1
22,22,22,203,//item.ssgcdn.com/44/66/16/item/1000015166644_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000015166644&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%8A%A4%ED%88%B4&srchPgNo=1&src_area=ssglist,미호 수납 스툴,1000015166644,1,5.0,"55,836",스툴,성공,15,1
23,23,23,301,//item.ssgcdn.com/46/38/53/item/1000023533846_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000023533846&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%88%98%EB%82%A9%EC%9E%A5&srchPgNo=1&src_area=ssglist,더크림 드레스룸 아일랜드 5단 서랍장(메이플),1000023533846,23,4.7,"147,035",서랍장,성공,15,1
24,24,24,301,//item.ssgcdn.com/49/82/82/item/1000061828249_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000061828249&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%88%98%EB%82%A9%EC%9E%A5&srchPgNo=1&src_area=ssglist,벨라 1500 광폭 3단 와이드 서랍장 NF2121,1000061828249,3,5.0,"175,968",서랍장,성공,15,1
25,25,25,302,//item.ssgcdn.com/28/67/75/item/1000062756728_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000062756728&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%84%A0%EB%B0%98&srchPgNo=1&src_area=ssglist,접이식 캠핑테이블 우드쉘프 캠핑 원목 3단 4단 선반,1000062756728,23,4.8,"19,900",선반,성공,15,1
26,26,26,302,//item.ssgcdn.com/44/80/96/item/1000005968044_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000005968044&siteNo=6001&salestrNo=2034&click=itemMidArea02,0.6 빈스 4단선반,1000005968044,55,4.9,"49,900",선반,성공,15,1
27,27,27,303,//item.ssgcdn.com/18/01/37/item/1000041370118_i1_600.jpg,http://www.ssg.com/item/dealItemView.ssg?itemId=1000041370118&siteNo=6001&salestrNo=6005&tlidSrchWd=%EC%A0%84%EC%9E%90%EB%A0%8C%EC%A7%80%EB%8C%80&srchPgNo=1&src_area=ssglist&advertBidId=1000477827&advertExtensTeryDivCd=10,[파란들] 100%만족! 가성비 갑 주방수납장 (수납장/주방수납장/렌지대/전자렌지수납장 外),1000041370118,107,4.6,"60,962",렌지대,성공,15,1
28,28,28,303,//item.ssgcdn.com/17/34/04/item/1000026043417_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000026043417&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%A0%84%EC%9E%90%EB%A0%8C%EC%A7%80%EB%8C%80&srchPgNo=1&src_area=ssglist,헤븐 1800 전자렌지대 주방수납장 선반 광파오븐형,1000026043417,79,4.2,"50,181",렌지대,성공,15,1
29,29,29,303,//item.ssgcdn.com/76/03/12/item/1000049120376_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000049120376&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%A0%84%EC%9E%90%EB%A0%8C%EC%A7%80%EB%8C%80&srchPgNo=1&src_area=ssglist,동서가구 로브 600 렌지대 DF917049,1000049120376,7,4.7,"52,974",렌지대,성공,15,1
30,30,30,30401,//item.ssgcdn.com/53/97/04/item/1000026049753_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000026049753&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%98%B7%EC%9E%A5&srchPgNo=1&src_area=ssglist,헤븐 1800 수납장 주방선반 광파오븐형,1000026049753,34,4.4,"50,181",옷장,성공,15,1
31,31,31,30401,//item.ssgcdn.com/87/10/28/item/1000061281087_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000061281087&siteNo=6004&salestrNo=6005&tlidSrchWd=%EC%98%B7%EC%9E%A5&srchPgNo=3&src_area=ssglist,포로스 600 옷장 롤스크린 드레스룸,1000061281087,0,,"130,247",옷장,성공,15,1
32,32,32,30402,//item.ssgcdn.com/18/57/87/item/1000013875718_i1_1200.jpg,http://www.ssg.com/item/itemView.ssg?itemId=1000013875718&siteNo=6001&salestrNo=2034&tlidSrchWd=%ED%96%89%EA%B1%B0&srchPgNo=1&src_area=ssglist,왕자 베이지컬러이동식행거,1000013875718,637,4.8,"19,900",행거,성공,15,1
